aa_eleicao;nm_pais;nm_regiao;sg_uf;nm_municipio;ds_tipo_deficiencia;qt_eleitor_apto;qt_eleitor_comp;qt_eleitor_abstencao
2022;Brasil;NORDESTE;AL;FLEXEIRAS;DEFICIÊNCIA AUDITIVA;3;3;0
2022;Brasil;NORDESTE;AL;FLEXEIRAS;DEFICIÊNCIA DE LOCOMOÇÃO;20;18;2
2022;Brasil;NORDESTE;AL;FLEXEIRAS;DEFICIÊNCIA VISUAL;9;6;3
2022;Brasil;NORDESTE;AL;FLEXEIRAS;OUTROS;25;18;7
2022;Brasil;NORDESTE;AL;GIRAU DO PONCIANO;DEFICIÊNCIA AUDITIVA;7;6;1
2022;Brasil;NORDESTE;AL;GIRAU DO PONCIANO;DEFICIÊNCIA DE LOCOMOÇÃO;172;91;81
2022;Brasil;NORDESTE;AL;GIRAU DO PONCIANO;DEFICIÊNCIA VISUAL;75;36;39
2022;Brasil;NORDESTE;AL;GIRAU DO PONCIANO;OUTROS;243;132;111
2022;Brasil;NORDESTE;AL;IBATEGUARA;DEFICIÊNCIA AUDITIVA;4;3;1
2022;Brasil;NORDESTE;AL;IBATEGUARA;DEFICIÊNCIA DE LOCOMOÇÃO;15;11;4
2022;Brasil;NORDESTE;AL;IBATEGUARA;DEFICIÊNCIA VISUAL;6;6;0
2022;Brasil;NORDESTE;AL;IBATEGUARA;OUTROS;29;20;9
2022;Brasil;NORDESTE;AL;IGACI;DEFICIÊNCIA AUDITIVA;11;9;2
2022;Brasil;NORDESTE;AL;IGACI;DEFICIÊNCIA DE LOCOMOÇÃO;102;53;49
2022;Brasil;NORDESTE;AL;IGACI;DEFICIÊNCIA VISUAL;44;23;21
2022;Brasil;NORDESTE;AL;IGACI;OUTROS;174;94;80
2022;Brasil;NORDESTE;AL;IGREJA NOVA;DEFICIÊNCIA AUDITIVA;3;3;0
2022;Brasil;NORDESTE;AL;IGREJA NOVA;DEFICIÊNCIA DE LOCOMOÇÃO;11;7;4
2022;Brasil;NORDESTE;AL;IGREJA NOVA;DEFICIÊNCIA VISUAL;8;6;2
2022;Brasil;NORDESTE;AL;IGREJA NOVA;OUTROS;32;24;8
2022;Brasil;NORDESTE;AL;INHAPI;DEFICIÊNCIA AUDITIVA;1;1;0
2022;Brasil;NORDESTE;AL;INHAPI;DEFICIÊNCIA DE LOCOMOÇÃO;7;4;3
2022;Brasil;NORDESTE;AL;INHAPI;DEFICIÊNCIA VISUAL;3;2;1
2022;Brasil;NORDESTE;AL;INHAPI;DIFICULDADE PARA O EXERCÍCIO DO VOTO;2;0;2
2022;Brasil;NORDESTE;AL;INHAPI;OUTROS;22;12;10
2022;Brasil;NORDESTE;AL;JACARÉ DOS HOMENS;DEFICIÊNCIA DE LOCOMOÇÃO;5;3;2
2022;Brasil;NORDESTE;AL;JACARÉ DOS HOMENS;DEFICIÊNCIA VISUAL;10;6;4
2022;Brasil;NORDESTE;AL;JACARÉ DOS HOMENS;OUTROS;7;4;3
2022;Brasil;NORDESTE;AL;JACUÍPE;DEFICIÊNCIA AUDITIVA;1;0;1
2022;Brasil;NORDESTE;AL;JACUÍPE;DEFICIÊNCIA DE LOCOMOÇÃO;5;5;0
2022;Brasil;NORDESTE;AL;JACUÍPE;OUTROS;8;7;1
2022;Brasil;NORDESTE;AL;JAPARATINGA;DEFICIÊNCIA AUDITIVA;9;8;1
2022;Brasil;NORDESTE;AL;JAPARATINGA;DEFICIÊNCIA DE LOCOMOÇÃO;8;7;1
2022;Brasil;NORDESTE;AL;JAPARATINGA;DEFICIÊNCIA VISUAL;6;4;2
2022;Brasil;NORDESTE;AL;JAPARATINGA;OUTROS;16;12;4
2022;Brasil;NORDESTE;AL;JARAMATAIA;DEFICIÊNCIA AUDITIVA;3;3;0
2022;Brasil;NORDESTE;AL;JARAMATAIA;DEFICIÊNCIA DE LOCOMOÇÃO;3;2;1
2022;Brasil;NORDESTE;AL;JARAMATAIA;DEFICIÊNCIA VISUAL;8;6;2
2022;Brasil;NORDESTE;AL;JARAMATAIA;OUTROS;7;5;2
2022;Brasil;NORDESTE;AL;JEQUIÁ DA PRAIA;DEFICIÊNCIA AUDITIVA;3;2;1
2022;Brasil;NORDESTE;AL;JEQUIÁ DA PRAIA;DEFICIÊNCIA DE LOCOMOÇÃO;13;9;4
2022;Brasil;NORDESTE;AL;JEQUIÁ DA PRAIA;DEFICIÊNCIA VISUAL;6;6;0
2022;Brasil;NORDESTE;AL;JEQUIÁ DA PRAIA;OUTROS;23;17;6
