cd_municipio;nm_municipio;nr_turno;qt_secoes_agregadas;qt_aptos_tot;qt_comparecimento;qt_votos_nom_validos;qt_votos_brancos;qt_total_vt_leg_validos;qt_total_votos_anulados;qt_votos_validos;qt_votos;qt_total_votos_nulos
51039;RIO ESPERA;1;0;5590;4240;3953;114;0;0;3953;4240;173
51055;RIO MANSO;1;1;4722;3819;3631;54;0;0;3631;3819;134
51071;RIO NOVO;1;0;7267;5689;5416;80;0;0;5416;5689;193
51098;RIO PARANAÍBA;1;5;11074;8087;7696;162;0;0;7696;8087;229
51110;RIO PARDO DE MINAS;1;6;21495;15706;14700;208;0;0;14700;15706;798
51136;RIO PIRACICABA;1;4;12373;9551;8941;217;0;0;8941;9551;393
51152;RIO POMBA;1;0;14218;11286;10659;240;0;0;10659;11286;387
51179;RIO PRETO;1;4;5285;4148;4011;44;0;0;4011;4148;93
51195;RIO VERMELHO;1;3;10837;6442;5920;125;0;0;5920;6442;397
51217;RITÁPOLIS;1;5;4691;3754;3496;80;0;0;3496;3754;178
51233;ROCHEDO DE MINAS;1;2;2435;1948;1872;21;0;0;1872;1948;55
51250;RODEIRO;1;0;6671;5400;5146;91;0;0;5146;5400;163
51276;ROMARIA;1;0;3182;2614;2514;26;0;0;2514;2614;74
51292;RUBELITA;1;7;7446;4833;4517;52;0;0;4517;4833;264
51314;RUBIM;1;0;6877;4917;4626;60;0;0;4626;4917;231
51330;SABARÁ;1;2;97838;77953;73032;2054;0;0;73032;77953;2867
51357;SABINÓPOLIS;1;1;12675;8322;7719;158;0;0;7719;8322;445
51373;SACRAMENTO;1;2;20028;15414;14841;214;0;0;14841;15414;359
51390;SALINAS;1;12;32462;24046;22703;358;0;0;22703;24046;985
51411;SALTO DA DIVISA;1;0;4958;3589;3394;43;0;0;3394;3589;152
51438;SANTA BÁRBARA;1;1;23800;19210;18148;369;0;0;18148;19210;693
51454;SANTA BÁRBARA DO TUGÚRIO;1;2;4437;3528;3328;51;0;0;3328;3528;149
51470;SANTA CRUZ DO ESCALVADO;1;0;4858;3838;3646;51;0;0;3646;3838;141
51497;SANTA EFIGÊNIA DE MINAS;1;0;4174;2639;2405;84;0;0;2405;2639;150
51519;SANTA FÉ DE MINAS;1;4;3556;2449;2367;17;0;0;2367;2449;65
51535;SANTA JULIANA;1;1;10506;8458;8171;114;0;0;8171;8458;173
51551;SANTA LUZIA;1;1;169122;137210;129041;3314;0;0;129041;137210;4855
51578;SANTA MARGARIDA;1;0;12820;10373;9871;170;0;0;9871;10373;332
51594;SANTA MARIA DE ITABIRA;1;1;8736;6863;6422;130;0;0;6422;6863;311
51616;SANTA MARIA DO SALTO;1;0;4422;3042;2835;49;0;0;2835;3042;158
51632;SANTA MARIA DO SUAÇUÍ;1;1;12342;7867;7463;62;0;0;7463;7867;342
51659;SANTANA DA VARGEM;1;0;5950;5020;4720;121;0;0;4720;5020;179
51675;SANTANA DE CATAGUASES;1;7;3208;2686;2577;31;0;0;2577;2686;78
51691;SANTANA DE PIRAPAMA;1;9;7403;5713;5459;86;0;0;5459;5713;168
51713;SANTANA DO DESERTO;1;1;3365;2744;2650;37;0;0;2650;2744;57
51730;SANTANA DO GARAMBÉU;1;0;2279;1861;1738;42;0;0;1738;1861;81
51756;SANTANA DO JACARÉ;1;0;3989;3134;2914;85;0;0;2914;3134;135
51772;SANTANA DO MANHUAÇU;1;0;7699;5788;5582;66;0;0;5582;5788;140
51799;SANTANA DO RIACHO;1;1;5658;4323;4163;54;0;0;4163;4323;106
51810;SANTANA DOS MONTES;1;5;3757;3080;2865;99;0;0;2865;3080;116
51837;SANTA RITA DE CALDAS;1;0;7038;5626;5444;59;0;0;5444;5626;123
51853;SANTA RITA DE JACUTINGA;1;1;4192;3447;3321;36;0;0;3321;3447;90
